Name:,Ricardo Amaral
Email:,rna5137@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 272.24 MPa,923.0,6.8203e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 304.61 MPa,923.0,2.10507e-05,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.34 MPa,973.0,3.26e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.34 MPa,973.0,4e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 36.39 MPa,973.0,6.29e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 43.88 MPa,973.0,9.15e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 50.97 MPa,973.0,1.271e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 52.42 MPa,973.0,3.201e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 62.04 MPa,973.0,4.805e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 60.89 MPa,973.0,5.197e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 74.12 MPa,973.0,8.98e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 86.9 MPa,973.0,1.528e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 92.79 MPa,973.0,1.9623e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 99.07 MPa,973.0,2.4424e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 121.72 MPa,973.0,5.5074e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 152.38 MPa,973.0,1.36407e-05,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 15.97 MPa,1023.0,2.22e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 19.26 MPa,1023.0,3.65e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 22.79 MPa,1023.0,6.72e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 24.11 MPa,1023.0,7.62e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 26.22 MPa,1023.0,1.257e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 27.22 MPa,1023.0,1.317e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 23.66 MPa,1023.0,2.545e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 33.76 MPa,1023.0,3.161e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 40.34 MPa,1023.0,6.389e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 46.85 MPa,1023.0,1.1217e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 59.76 MPa,1023.0,2.6923e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 72.74 MPa,1023.0,5.3562e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 84.49 MPa,1023.0,9.7033e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 97.23 MPa,1023.0,1.67726e-05,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 8.69 MPa,1073.0,5.4e-09,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 10.38 MPa,1073.0,6.3e-09,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 11.95 MPa,1073.0,1.08e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 13.62 MPa,1073.0,1.87e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 15.24 MPa,1073.0,3.03e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 12.29 MPa,1073.0,5.96e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 16.42 MPa,1073.0,7.06e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 13.88 MPa,1073.0,8.27e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 18.55 MPa,1073.0,1.094e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 15.82 MPa,1073.0,2.435e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 21.54 MPa,1073.0,2.711e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 24.79 MPa,1073.0,5.567e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 25.98 MPa,1073.0,6.612e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.07 MPa,1073.0,1.1079e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 31.92 MPa,1073.0,1.7993e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 35.05 MPa,1073.0,2.578e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 41.1 MPa,1073.0,4.2511e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 53.41 MPa,1073.0,1.13842e-05,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 6.81 MPa,1173.0,6.27e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 6.88 MPa,1173.0,7.1e-08,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 8.53 MPa,1173.0,2.09e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 8.77 MPa,1173.0,3.616e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 10.09 MPa,1173.0,4.642e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 11.72 MPa,1173.0,9.094e-07,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 14.96 MPa,1173.0,2.9392e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 15.82 MPa,1173.0,6.1346e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 18.2 MPa,1173.0,6.839e-06,None,%/s,F3,10.3390/met9070739
1,Fe71.5 Al25.8 Nb2.7,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 21.34 MPa,1173.0,1.29848e-05,None,%/s,F3,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 79.88 MPa,923.0,2.21e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 95.43 MPa,923.0,2.75e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 93.66 MPa,923.0,3.31e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 108.79 MPa,923.0,4.52e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 114 MPa,923.0,6.56e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 122.87 MPa,923.0,6.98e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 142.72 MPa,923.0,1.095e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 162.7 MPa,923.0,1.8e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 196.19 MPa,923.0,3.298e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 221.58 MPa,923.0,5.952e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 254.98 MPa,923.0,1.2745e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 287.97 MPa,923.0,2.6049e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 319.2 MPa,923.0,5.0819e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 353.82 MPa,923.0,1.33243e-05,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 30.18 MPa,973.0,1.58e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 30.75 MPa,973.0,2.06e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 37.78 MPa,973.0,3.34e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 44.71 MPa,973.0,5.83e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 66.24 MPa,973.0,2.019e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 79.14 MPa,973.0,3.531e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 100 MPa,973.0,7.326e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 133.66 MPa,973.0,1.7747e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 167.33 MPa,973.0,3.9179e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 199.9 MPa,973.0,7.6397e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 234.38 MPa,973.0,1.46687e-05,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 19.26 MPa,1023.0,2.74e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 23 MPa,1023.0,7.51e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 25.98 MPa,1023.0,6.84e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 27.48 MPa,1023.0,7.39e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 29.07 MPa,1023.0,1.107e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 30.75 MPa,1023.0,1.056e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 34.08 MPa,1023.0,1.791e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 40.72 MPa,1023.0,2.943e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 53.91 MPa,1023.0,7.708e-07,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 86.09 MPa,1023.0,3.9356e-06,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 119.46 MPa,1023.0,1.11365e-05,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 13.75 MPa,1073.0,1.47e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 13.88 MPa,1073.0,2.38e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 12.52 MPa,1073.0,3.52e-08,None,%/s,F4,10.3390/met9070739
1,Fe67.9 Al27.3 Nb4.8,FeAl+Laves,VIM+HR,Rolled at 1200C to 13 mm in several steps, with a 15% thickness reduction in each pass.,creep rate,EXP,stress = 16.27 MPa,1073.0,1.425e-07,None,%/s,F4,10.3390/met9070739
